,player_id,last_season,current_club_id,country_of_birth,country_of_citizenship,date_of_birth,position,sub_position,foot,height_in_cm,agent_name,domestic_competition_id,goals,assists,minutes_played,yellow_cards,red_cards,total_appearance,market_value_usd
8591,8591,2020.0,23611.0,Ukraine,Ukraine,1996-07-09,Defender,Centre-Back,Right,186.0,Maksym Karagodin,UKR1,3,0,2893.0,9,0,36,442800.0
861,861,2017.0,306.0,Denmark,Denmark,1990-06-15,Goalkeeper,,Right,188.0,GOLDBAEK SPORT GmbH,NL1,1,1,10133.0,5,0,113,332100.0
10248,10248,2021.0,29.0,Brazil,Brazil,1997-05-10,Attack,Centre-Forward,Right,184.0,CAA Base Ltd,GB1,53,19,14630.0,30,2,182,55350000.0
3106,3106,2016.0,2698.0,Tajikistan,Tajikistan,1993-08-29,Attack,Attacking Midfield,Left,168.0,SSM Moscow,RU1,0,0,167.0,0,0,5,774900.0
996,996,2021.0,589.0,Brazil,Brazil,1987-04-12,Attack,Centre-Forward,Right,184.0,BBC Management GmbH,TR1,56,29,11519.0,27,2,163,664200.0
10971,10971,2021.0,317.0,Netherlands,Algeria,1998-05-26,Midfield,Central Midfield,Right,183.0,Muy Manero,NL1,4,3,4871.0,16,0,67,3874500.0
4332,4332,2021.0,60949.0,Switzerland,Switzerland,1994-02-24,Defender,Centre-Back,,186.0,Soccer Mondial AG,GR1,3,0,6267.0,14,0,91,221400.0
5600,5600,2017.0,192.0,Jugoslawien (SFR),Bosnia-Herzegovina,1991-10-16,Midfield,Defensive Midfield,Right,190.0,ROOF,NL1,0,1,5018.0,20,0,70,387450.0
5115,5115,2017.0,897.0,Spain,Spain,1992-07-09,Attack,Left Winger,Right,177.0,PROTIO SPORT,ES1,5,2,865.0,1,0,27,332100.0
6383,6383,2016.0,105.0,Hungary,Hungary,1994-04-08,Attack,Attacking Midfield,Right,173.0,YSI Football Developers,L1,1,1,1023.0,0,0,20,2767500.0
112,112,2021.0,1096.0,Belgium,Belgium,1985-09-22,Midfield,Central Midfield,Right,188.0,B Managed,BE1,9,7,10448.0,41,0,130,110700.0
